play_pattern,under_pressure,body_part,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,assisted,distance,angle,duration,goal
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,17.204650534085253,35.53767779197438,0.6741,0
From Free Kick,0,foot,Normal,0,1,0,0,0,0,1,29.154759474226502,5.9061411137705,0.398965,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,1,36.24913792078372,24.443954780416536,1.2018,0
From Throw In,0,foot,Normal,0,1,0,0,0,0,1,32.280024783137954,16.189206257026946,1.4975,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,27.892651361962706,14.534455080540123,2.695049,0
Regular Play,0,foot,Normal,0,0,0,1,0,0,1,14.31782106327635,65.22485943116808,0.4646,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,25.317977802344327,9.090276920822324,0.2029,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,10.0,36.86989764584403,0.6164,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,20.615528128088304,22.833654177917538,0.966002,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,3.0,0.0,1.5885,0
Regular Play,0,foot,Normal,0,0,0,1,0,0,1,29.8328677803526,76.42956561483851,0.6545,0
From Corner,0,foot,Half Volley,0,0,0,0,0,0,0,22.36067977499789,26.56505117707799,0.0575,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,7.0,0.0,2.0214,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,0,9.055385138137416,6.340191745909909,1.6788,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,12.16552506059644,9.462322208025618,0.9944,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,26.925824035672523,21.801409486351808,1.276,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,12.369316876852979,14.03624346792648,1.7092,0
From Throw In,0,head,Normal,0,0,0,0,0,0,1,10.63014581273465,41.18592516570965,0.6632,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,20.591260281974,29.054604099077142,0.5976,0
Regular Play,0,foot,Half Volley,0,0,0,0,0,0,0,21.840329667841555,15.945395900922856,1.8088,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,11.704699910719626,19.98310652189998,0.2625,0
From Kick Off,0,head,Normal,0,0,0,0,0,0,1,6.0827625302982185,9.462322208025618,1.941539,0
From Goal Kick,0,head,Normal,0,0,0,0,0,0,0,8.602325267042627,35.53767779197438,0.0911,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,19.02629759044045,3.0127875041833403,0.963904,0
